run_id,purpose,arrival_rate,num_orders,service_min,service_max,num_workers,avg_waiting_time,avg_service_time,avg_completion_time,throughput,status
001,Baseline,0.5,50,1,3,1,161.03,1.95,162.98,0.121,Complete
002,Higher AR,1.0,50,1,3,1,195.17,2.03,197.21,0.117,Complete
003,High AR,1.5,50,1,3,1,213.01,1.92,214.92,0.116,Complete
004,More Orders,0.5,100,1,3,1,401.28,1.99,403.28,0.104,Complete
005,Balanced,1.0,100,1,3,1,492.76,1.93,494.69,0.1,Complete
006,Heavy Load,1.5,100,1,3,1,531.89,2.03,533.93,0.098,Complete
007,Fast Svc,0.5,100,0,1,1,450.96,0.5,451.46,0.102,Complete
008,Med Fast Svc,1.0,100,0,1,1,513.33,0.54,513.87,0.099,Complete
009,Slow Svc,1.5,100,2,4,1,520.69,3.02,523.71,0.098,Complete
010,Stress Test,2.0,150,2,4,1,972.57,3.03,975.6,0.084,Complete
011,2-Worker Baseline,0.5,100,1,3,2,160.23,2.04,162.26,0.217,Complete
012,2-Worker Heavy,1.5,100,1,3,2,240.88,2.02,242.89,0.2,Complete
013,3-Worker,0.5,100,1,3,3,14.51,2.0,16.51,0.391,Complete
